product_id,product_name,revenue,profit,quantity,revenue_percentage,cumulative_percentage,ABC_class
186,Product 186,1052152.61,393669.61,133,1.134515044521538,1.134515044521538,A
199,Product 199,1050905.82,322655.82,150,1.1331706558854076,2.2676857004069455,A
101,Product 101,1004803.75,351931.75,132,1.0834597189913906,3.3511454193983363,A
21,Product 21,984793.48,198952.48,161,1.0618830464211082,4.413028465819444,A
126,Product 126,960064.13,287004.13,146,1.0352178845904125,5.448246350409857,A
15,Product 15,924878.92,228238.91999999998,160,0.9972783787523294,6.445524729162186,A
26,Product 26,911868.67,332278.67,121,0.9832496872700297,7.4287744164322165,A
171,Product 171,908353.55,322978.55,125,0.9794594039162693,8.408233820348485,A
3,Product 3,900049.18,315751.18,117,0.9705049683992835,9.378738788747768,A
54,Product 54,877122.32,326754.32,144,0.9457833953628024,10.32452218411057,A
194,Product 194,865939.13,255367.13,123,0.933724786012641,11.258246970123212,A
113,Product 113,864355.5,148621.5,153,0.9320171895642934,12.190264159687505,A
64,Product 64,860835.62,271444.62,121,0.9282217735980578,13.118485933285562,A
97,Product 97,843156.88,314781.88,125,0.9091591430370931,14.027645076322656,A
137,Product 137,819482.9299999999,303362.93,115,0.8836319978463868,14.911277074169043,A
169,Product 169,816288.34,232458.34,117,0.8801873355591563,15.7914644097282,A
102,Product 102,814834.36,209944.36000000002,130,0.8786195381039628,16.67008394783216,A
146,Product 146,810440.01,277802.01,127,0.8738811986857928,17.543965146517955,A
167,Product 167,808546.25,221134.25,126,0.8718391952822057,18.41580434180016,A
130,Product 130,803521.81,299470.81,111,0.8664214424618276,19.28222578426199,A
72,Product 72,792112.99,193168.99,136,0.8541195408106609,20.13634532507265,A
105,Product 105,786139.34,141541.34,162,0.8476782738962481,20.984023598968896,A
122,Product 122,785686.47,272514.47,109,0.8471899532635477,21.831213552232445,A
127,Product 127,785273.13,288931.13,121,0.8467442570365503,22.677957809268996,A
19,Product 19,782966.88,244294.88,131,0.8442574739439077,23.522215283212905,A
31,Product 31,782430.98,174678.98,138,0.8436796237284726,24.365894906941378,A
49,Product 49,782136.15,138534.15,134,0.8433617144561891,25.209256621397568,A
107,Product 107,771050.23,283850.23,140,0.8314079893949909,26.040664610792557,A
22,Product 22,771035.71,145076.71,157,0.8313923327703815,26.87205694356294,A
156,Product 156,766801.06,245753.06,124,0.8268261946573154,27.698883138220253,A
192,Product 192,765610.37,176461.37,121,0.825542297525357,28.52442543574561,A
94,Product 94,764651.4,79481.4,138,0.8245082594191884,29.3489336951648,A
46,Product 46,761035.65,281803.65,104,0.8206094687558941,30.169543163920693,A
28,Product 28,759229.03,233447.03,151,0.8186614266655614,30.988204590586253,A
73,Product 73,752599.19,101101.19,138,0.8115126032427209,31.799717193828975,A
60,Product 60,747649.56,155672.56,137,0.8061755165440384,32.60589271037301,A
140,Product 140,746131.93,137275.93,138,0.8045390865711877,33.4104317969442,A
